111 {'loss': 0.22618319675326348, 'acc': 0.81371784269809722}
112 {'loss': 0.22514724358916283, 'acc': 0.81418093562126159}
113 {'loss': 0.2292793247103691, 'acc': 0.81225123643875119}
114 {'loss': 0.22639737650752068, 'acc': 0.81321185529232021}
115 {'loss': 0.22725791469216347, 'acc': 0.81390176534652714}
116 {'loss': 0.22601038664579393, 'acc': 0.81350239217281339}
117 {'loss': 0.22448780089616777, 'acc': 0.81513297557830811}
118 {'loss': 0.2223900805413723, 'acc': 0.81607130229473113}
119 {'loss': 0.22326947554945945, 'acc': 0.81355406761169435}
120 {'loss': 0.22302394911646842, 'acc': 0.81387196481227875}
121 {'loss': 0.2270136857032776, 'acc': 0.8150846117734909}
122 {'loss': 0.22515726134181022, 'acc': 0.81413317739963531}
123 {'loss': 0.22468910977244377, 'acc': 0.81495497286319729}
124 {'loss': 0.22854892447590827, 'acc': 0.81470705151557921}
